Cor_SCNA_Pro.correlation	Cor_SCNA_Pro.cor.pvalue	Cor_SCNA_mRNA.correlation	Cor_SCNA_mRNA.cor.pvalue
ACAP3	0.0755135599068084	0.441691039831712	0.261634630897244	0.00374619461021092
AGRN	0.0132023861058684	0.885239729509339	0.12907556890684	0.156499241835059
ATAD3A	0.271554584950572	0.00248133554877067	0.296803467684519	0.000901184007309543
ATAD3B	0.13883641187039	0.140703800605605	0.305337767193118	0.000626449235772232
CCNL2	0.195142757358699	0.0312412482711486	0.306823138234027	0.000587366764697861
CDK11A	0.191446711521615	0.0346513215734105	0.33532236884484	0.000159659617148863
CDK11B	0.202632365419767	0.0251962019219792	0.33532236884484	0.000159659617148863
DVL1	0.166373944984479	0.0670215655321497	0.279099902894941	0.00185114320562681
FAM213B	0.156986561522623	0.0841951290402086	0.157447647194044	0.0832765610336981
GNB1	0.201144306056658	0.0263105079037839	0.439993739883493	3.95781244133731e-07
ISG15	0.0164524519212799	0.857258801886056	0.126133196485304	0.166242056330958
MIB2	-0.0966418742114229	0.289628702495201	0.157225282369229	0.0863502487849895
MRPL20	-0.12969665572903	0.154498490891629	0.434663330855365	5.65688657215275e-07
MXRA8	-0.110800349577107	0.224375227426234	0.0844886162255993	0.354832724922492
NADK	0.182977348880114	0.043663174110924	0.423196191545866	2.21278709847186e-06
NOC2L	0.043282795251713	0.635946021665254	0.276834468638526	0.00202309333047351
PANK4	0.151089924594438	0.0966705028473301	0.295219090134971	0.000962962686783431
PRKCZ	-0.00576185123614578	0.949776789546479	0.281016169701309	0.00179468477399702
PUSL1	0.121718819919771	0.250410981699292	0.359387153478847	0.000847669073021603
RER1	0.0836401666363022	0.359702770426695	0.40746312760783	3.19260061525421e-06
SDF4	0.331251969432794	0.000193833009744954	0.362715450927118	4.0291548326918e-05
SSU72	0.184346377456886	0.0420862246344415	0.515982971063714	1.18246620548892e-09
TTLL10	0.0152033011498882	0.909010511563124	0.214049602611132	0.0240808405610427
UBE2J2	0.282591615971301	0.0024241222214625	0.427008065856545	9.34924181688143e-07
VWA1	-0.129800848854777	0.154164734202236	0.221406889683133	0.0142522750372586
ARHGEF16	0.191980727079201	0.0341400241137091	0.202159280319258	0.0255460061004399
MEGF6	-0.00522242679773438	0.954473383440015	0.273465943789102	0.00230560801374861
TPRG1L	0.341972277041636	0.000115625014989697	0.580674256666649	2.36813274733071e-12
WRAP73	0.101524819872156	0.282454346973612	0.402952217847383	4.1932184133496e-06
LRRC47	0.377441551815972	1.82177392802347e-05	0.576603812930574	3.64635387054452e-12
CEP104	0.160395856958797	0.0988685407189951	0.4342966375256	5.79631266726949e-07
DFFB	0.23305456989227	0.0097846767231751	0.363184033664276	5.29731857268213e-05
C1orf174	0.20973445308627	0.0204169897082766	0.59883541691728	3.203060357685e-13
KCNAB2	0.18202789770221	0.0447855152272859	0.189507550488871	0.037356244470993
CHD5	-0.0326952309468581	0.759665377830572	0.195906321234055	0.0350661887347374
RPL22	0.24417623557465	0.00672012102991335	0.367581130767544	3.11287806925635e-05
ICMT	0.156087001455323	0.141807550561333	0.417943614861318	1.84369583586034e-06
ACOT7	0.0698859288859105	0.444328298141979	0.143574880677175	0.11463534592845
ESPN	0.020992611831379	0.824552083415591	0.0747540744348703	0.42719397515948
PLEKHG5	0.0339884168538477	0.747724656368274	0.334730210704487	0.000255751936905242
NOL9	0.118603370250828	0.193214398875329	0.57916928872882	2.77980704013093e-12
DNAJC11	0.302234680220289	0.000715914681629276	0.559483136723729	2.10259944727795e-11
VAMP3	0.310311497682421	0.000504232260226511	0.429121311081665	8.14846963709134e-07
PARK7	0.239042568146551	0.00800902797476022	0.411262157058856	2.52977072730918e-06
ERRFI1	0.120696428412235	0.280085109177011	0.224444916415467	0.0129424461489124
RERE	-0.126953373737593	0.163482101787501	0.260218371390183	0.00379571506199762
ENO1	0.470680451224017	4.4788486902122e-08	0.49006057131379	1.00907519240019e-08
H6PD	0.1872277023836	0.0389223895498349	0.285627392383206	0.00142721901826637
TMEM201	0.194838409277948	0.0315108721745837	0.433610415666763	6.06606506866288e-07
PIK3CD	0.221775107064747	0.014087603534641	0.497153005730741	0.00128300172543432
CLSTN1	0.0506937472609869	0.579220797332194	0.374341749119495	2.15999561633381e-05
CTNNBIP1	0.198681417875379	0.0282471756276095	0.365823700544214	3.418552780563e-05
LZIC	0.364309587955118	3.70425725198336e-05	0.421012347786877	1.37395532722923e-06
NMNAT1	0.259836988200625	0.00384918725346097	0.418982912934199	1.56257260281531e-06
RBP7	0.169904480969893	0.0613500167518818	0.172449716270877	0.057509726622812
UBE4B	0.436390639440405	5.04196511976858e-07	0.652200073430821	4.03558363182601e-16
KIF1B	0.340574447371269	0.000123814878328094	0.245173960440411	0.00649216579290418
PGD	0.50457042724872	3.1068469128781e-09	0.422955850909257	1.2137470553333e-06
DFFA	0.339482506077053	0.000130584746677178	0.407297382966796	3.22496994052713e-06
PEX14	0.360704633642166	4.47709343386633e-05	0.423189810446422	1.19570403900416e-06
CASZ1	-0.0169259742456556	0.853195977581188	0.121625570798368	0.182030598225218
TARDBP	-0.00010443818844033	0.999089069692501	0.338546528704335	0.00013666016490866
SRM	0.336198603796585	0.000153076728225626	0.326566914374766	0.000241513602862103
MTOR	0.164779629519717	0.0697188179471387	0.412232031111973	2.62550698614237e-06
UBIAD1	-0.102997641913584	0.414239459156769	0.310125773735803	0.00050836990560453
FBXO2	0.0472058202885108	0.605626951384633	-0.0145857540700387	0.88316665943996
FBXO44	0.0637772621100419	0.485238515436901	0.224035947981658	0.0134999538811403
FBXO6	0.0941623602643111	0.302238635274698	0.190282034572076	0.0357888848035128
MAD2L2	0.187820819966133	0.0538550244045906	0.347628158627245	8.7368373361673e-05
AGTRAP	0.240085998195701	0.00773062985051575	0.280365491602109	0.0019250640009602
C1orf167	0.158944564427069	0.134566990723725	NA	NA
MTHFR	0.387465690007756	1.03781970288878e-05	0.371536016922732	2.5162186038846e-05
KIAA2013	0.132166080245091	0.176845515622172	0.381953175742678	1.41742151293728e-05
PLOD1	0.227722961337185	0.0116482579446867	0.297124513445463	0.000889116456422058
MFN2	0.288552545000831	0.00126765453965775	0.522698246832972	6.58562442834174e-10
VPS13D	0.29147209393888	0.00112477533111699	0.379023213844703	1.66903966220809e-05
DHRS3	0.167359982503219	0.065396276416479	0.138200013278066	0.129002067626677
PRDM2	0.162572867142499	0.0735966980661048	0.543801853733258	9.60733367885003e-11
KAZN	0.342344931343657	0.00011352842184405	0.363454570556723	3.87533112577415e-05
FHAD1	0.0101446156047001	0.92396683796507	0.313365420133792	0.00044049225459966
EFHD2	0.299992307371898	0.000787701851475442	0.270646004824857	0.00256903821525672
CASP9	0.3809750866345	1.49715023878533e-05	0.348369970298139	8.4182192832331e-05
DNAJC16	0.194322102522552	0.0680385105773965	0.365230585558172	3.5279154622719e-05
AGMAT	0.148903558288681	0.205447960143374	0.40276832832422	0.0372538812270886
DDI2	0.327806871000633	0.00022793531601712	0.295015822893256	0.000971162861733611
FBLIM1	0.297699623163607	0.000867868210232057	0.338796864346817	0.000135009986100757
PLEKHM2	0.398751683412944	5.38593926546409e-06	0.326633359846665	0.000240767391139057
SPEN	0.21087611003283	0.0197266389461682	0.309876095070189	0.000513981617843726
ZBTB17	-0.112188750887918	0.292448133322178	0.26331538314202	0.00366379085716101
HSPB7	0.0451959687074018	0.65855971297371	0.0741507535126796	0.422868111503153
FBXO42	0.416919352101458	3.9435964007804e-06	0.614463786697092	5.1626414211448e-14
SZRD1	0.35865386728043	4.98165972264923e-05	0.569921936375177	7.31201469248675e-12
NECAP2	0.436854422652276	4.88802827190715e-07	0.432190574771791	6.66261218449334e-07
ATP13A2	0.171172074844817	0.104738636850465	0.154213083774917	0.089892485246134
CROCC	0.119161222179383	0.191113395535773	0.110977058059612	0.223632452249723
MFAP2	0.0773551241778607	0.397056762172747	0.173872247160627	0.0554508280924492
MST1L	0.0361411775746151	0.713019027385164	0.156140761191017	0.085901156353824
SDHB	0.229160362355006	0.0111174908613847	0.435814281870785	5.23970434343309e-07
PADI2	0.226682714890465	0.012046095153723	0.221202981874621	0.0143441846111625
PADI4	0.0440831381079097	0.653647729482659	0.0327831494714126	0.769992118004142
RCC2	0.332778446703656	0.000180291697107559	0.385995411649904	1.22792488704808e-05
ARHGEF10L	0.0762415225030981	0.403908193617375	0.161994825202148	0.0746407527775332
ACTL8	0.0635523673627604	0.501739652667122	0.0373844723740537	0.714763016501814
KLHDC7A	0.115777764264124	0.215854328961956	0.213410850649198	0.0226181417103537
ALDH4A1	0.154328326013134	0.08964980106171	0.14167548508052	0.119563097271158
IFFO2	0.0958040487665858	0.416804831329015	0.385725310124155	1.14584494509942e-05
UBR4	0.308144827311471	0.000554488658821895	0.298618629504131	0.000834877358431731
EMC1	-0.0485343345117132	0.595506383670055	0.481639968394419	1.95023122152934e-08
MRTO4	0.0986951447430809	0.279455094788125	0.353667157240006	6.91030250782982e-05
AKR7A3	0.123924171826478	0.173847466833132	0.186240130718207	0.0399835384499728
AKR7A2	0.336511552870199	0.000150787422346137	0.219505567841643	0.0151295215270266
MINOS1	0.11171524884611	0.220548329590166	0.149669453951323	0.0998839043087024
NBL1	-0.0489362753458532	0.594012119409076	0.149669453951323	0.0998839043087024
TMCO4	0.392781382220067	7.6428262034401e-06	0.351343021172948	7.24692101928792e-05
OTUD3	0.233002215389552	0.0811153042438178	0.513358751761946	1.48125573064844e-09
PLA2G2A	0.0417315014202747	0.648107216485796	0.150877928883961	0.0999871225668308
UBXN10	0.127288998490005	0.341004663305978	0.0838106633216701	0.358720817022705
MUL1	-0.0878752440229681	0.368091071323028	0.406749858803479	3.33412258417552e-06
CDA	0.0988880621080904	0.278511706734143	0.099314303037229	0.276434934108516
DDOST	0.0534241942008508	0.558929415890503	0.428116766921063	8.69972261281306e-07
HP1BP3	0.376012624762746	1.97097393879726e-05	0.389589130346979	9.19012136574701e-06
EIF4G3	0.291441301554803	0.0011262022450132	0.279698595955037	0.00180797293557264
ECE1	0.0946649626148896	0.299653869706759	0.191249838408377	0.0348414415786783
ALPL	0.1924752556185	0.0336722266562911	0.0887915892187071	0.330771260485869
RAP1GAP	0.079004858203429	0.387034986338407	0.0554661451379539	0.543980909460797
USP48	0.56054492902206	1.89158103995726e-11	0.457251448914884	1.19319471884592e-07
HSPG2	0.0351416358619234	0.700774674473266	0.0818932428126463	0.369859785405093
CDC42	0.181053755923784	0.0459619117199721	0.585036247102644	1.48125205035797e-12
ZBTB40	0.0762902952092037	0.419806387460882	0.296295658794157	0.00092057800530769
C1QA	0.0839944032015733	0.357664456343833	0.161075352644207	0.0763260828027011
C1QC	0.0808457347998797	0.376033782319304	0.159191221243951	0.0798752807837278
C1QB	0.0707053262488581	0.43899263107561	0.0996991440619208	0.274568851777241
EPHB2	-0.154563616091309	0.148108851895487	0.0321109450154817	0.72550108362319
LUZP1	0.279257446890249	0.00183969335891562	0.42515999551335	1.05354935887423e-06
HNRNPR	0.159173093225591	0.0811825066090198	0.25601570589624	0.00442344787979268
ZNF436	-0.0177469136457959	0.851337857140119	0.205306545977775	0.0232949143143833
TCEA3	-0.0135172692895483	0.882522030355577	0.0897294495552269	0.325668635927029
ASAP3	0.144258584879169	0.112900701363549	0.336178202776618	0.00015322708302025
